wiki,overall size rank,monthly unique devices,mobile unique devices,mobile web pageviews,mobile app pageviews,unique devices per editor,monthly editors,monthly active editors,monthly active administrators,majority-mobile editors,monthly new active editors,second-month new editor retention,monthly nonbot edits,bot edits,mobile edits,visual edits,anonymous edits,revert rate,edits Gini coefficient,monthly flow messages,content pages,cumulative content edits,edits per content page,script direction,database code,project code,language code,domain name,language name,project name,wiki name
Egyptian Arabic Wikipedia,86,"927,488",71.7%,62.9%,3.6%,"8,736",106,15,4,35.5%,4,2.5%,"2,471",29.8%,8.1%,10.6%,12.8%,4.9%,0.95,0,"18,594","259,941",14,right-to-left,arzwiki,wikipedia,arz,https://arz.wikipedia.org,Egyptian Arabic,Wikipedia,Egyptian Arabic Wikipedia
Esperanto Wikipedia,87,"148,043",25.9%,9.1%,0.5%,446,332,87,12,4.1%,4,5.3%,"12,715",4.1%,0.9%,4.4%,2.3%,1.5%,0.96,0,"247,925","2,248,319",9,left-to-right,eowiki,wikipedia,eo,https://eo.wikipedia.org,Esperanto,Wikipedia,Esperanto Wikipedia
Japanese Wiktionary,88,"738,522",59.0%,37.7%,0.0%,"13,740",54,17,3,14.9%,1,1.9%,"5,164",22.5%,1.2%,0.2%,3.9%,1.0%,0.97,0,"207,441","406,456",2,left-to-right,jawiktionary,wiktionary,ja,https://ja.wiktionary.org,Japanese,Wiktionary,Japanese Wiktionary
French Wikiversity,89,"444,931",47.6%,35.4%,0.0%,"4,615",96,25,5,10.4%,3,2.0%,"3,261",33.7%,1.6%,9.5%,6.2%,5.0%,0.94,16,"13,782","274,858",20,left-to-right,frwikiversity,wikiversity,fr,https://fr.wikiversity.org,French,Wikiversity,French Wikiversity
Chinese Wikisource,90,"312,265",59.8%,38.9%,0.1%,"2,690",116,36,4,13.4%,3,8.8%,"5,058",89.9%,3.5%,2.2%,7.3%,1.5%,0.95,0,"292,732","601,108",2,left-to-right,zhwikisource,wikisource,zh,https://zh.wikisource.org,Chinese,Wikisource,Chinese Wikisource
Dutch Wiktionary,91,"574,370",52.3%,39.3%,0.0%,"8,670",66,18,4,5.9%,1,1.4%,"17,676",3.9%,0.3%,0.1%,1.1%,1.1%,0.99,0,"665,920","1,255,520",2,left-to-right,nlwiktionary,wiktionary,nl,https://nl.wiktionary.org,Dutch,Wiktionary,Dutch Wiktionary
Polish Wikiquote,92,"527,751",49.7%,41.5%,0.0%,"6,687",79,19,4,4.8%,2,3.8%,"1,075",0.2%,5.3%,1.7%,17.4%,5.4%,0.91,0,"23,638","371,673",16,left-to-right,plwikiquote,wikiquote,pl,https://pl.wikiquote.org,Polish,Wikiquote,Polish Wikiquote
Urdu Wikipedia,93,"239,589",61.3%,54.7%,1.8%,"1,281",187,42,9,37.4%,7,5.2%,"14,476",81.2%,6.2%,5.1%,2.0%,2.0%,0.98,49,"139,382","599,816",4,right-to-left,urwiki,wikipedia,ur,https://ur.wikipedia.org,Urdu,Wikipedia,Urdu Wikipedia
German Wikisource,94,"232,336",35.5%,15.0%,0.0%,"1,777",131,39,8,1.5%,1,1.0%,"7,020",30.0%,0.0%,0.2%,3.3%,1.2%,0.95,0,"420,936","1,649,301",4,left-to-right,dewikisource,wikisource,de,https://de.wikisource.org,German,Wikisource,German Wikisource
Japanese Wikibooks,95,"746,014",66.4%,51.8%,0.0%,"17,183",43,12,3,20.9%,1,3.0%,663,0.5%,9.3%,1.0%,22.7%,6.5%,0.91,0,"10,877","87,438",8,left-to-right,jawikibooks,wikibooks,ja,https://ja.wikibooks.org,Japanese,Wikibooks,Japanese Wikibooks
Kannada Wikipedia,96,"243,544",67.1%,60.8%,2.0%,861,283,36,3,14.1%,5,4.8%,"5,163",0.9%,7.9%,8.7%,6.2%,2.9%,0.86,0,"23,459","264,221",11,left-to-right,knwiki,wikipedia,kn,https://kn.wikipedia.org,Kannada,Wikipedia,Kannada Wikipedia
Portuguese Wiktionary,97,"577,142",60.3%,60.0%,0.0%,"10,907",53,15,4,12.6%,1,1.4%,"5,988",19.1%,1.6%,0.5%,3.4%,2.0%,0.97,0,"246,324","825,627",3,left-to-right,ptwiktionary,wiktionary,pt,https://pt.wiktionary.org,Portuguese,Wiktionary,Portuguese Wiktionary
Spanish Wikisource,98,"586,511",50.9%,41.2%,0.0%,"8,966",65,14,5,7.4%,1,0.0%,"2,706",6.7%,2.5%,1.4%,6.3%,5.2%,0.93,0,"111,898","572,920",5,left-to-right,eswikisource,wikisource,es,https://es.wikisource.org,Spanish,Wikisource,Spanish Wikisource
Chinese Wiktionary,99,"477,302",57.5%,42.8%,0.0%,"6,934",69,17,4,15.2%,2,3.2%,"3,251",5.0%,2.8%,0.6%,7.6%,2.8%,0.96,0,"835,832","974,497",1,left-to-right,zhwiktionary,wiktionary,zh,https://zh.wiktionary.org,Chinese,Wiktionary,Chinese Wiktionary
Arabic Wikisource,100,"858,724",78.7%,73.9%,0.0%,"13,906",62,9,3,54.1%,1,3.2%,824,41.7%,18.7%,5.4%,13.4%,6.6%,0.90,0,"78,989","51,427",1,right-to-left,arwikisource,wikisource,ar,https://ar.wikisource.org,Arabic,Wikisource,Arabic Wikisource
Czech Wiktionary,101,"275,122",43.6%,32.1%,0.0%,"4,081",67,28,3,6.2%,4,3.3%,"4,723",8.8%,1.0%,0.4%,6.7%,2.1%,0.96,0,"102,537","329,871",3,left-to-right,cswiktionary,wiktionary,cs,https://cs.wiktionary.org,Czech,Wiktionary,Czech Wiktionary
Spanish Wikiquote,102,"633,822",57.3%,47.1%,0.0%,"9,460",67,11,3,11.6%,1,0.6%,990,2.3%,5.5%,3.9%,22.3%,13.8%,0.92,0,"6,616","209,727",32,left-to-right,eswikiquote,wikiquote,es,https://es.wikiquote.org,Spanish,Wikiquote,Spanish Wikiquote
Swahili Wikipedia,103,"261,084",82.5%,67.7%,0.2%,"3,033",86,25,4,15.2%,3,16.9%,"2,498",2.1%,4.3%,7.2%,4.3%,1.9%,0.94,0,"42,768","247,127",6,left-to-right,swwiki,wikipedia,sw,https://sw.wikipedia.org,Swahili,Wikipedia,Swahili Wikipedia
French Wikibooks,104,"373,570",37.1%,32.5%,0.0%,"5,898",63,15,3,9.9%,1,3.5%,"2,654",10.5%,1.2%,2.9%,7.0%,2.9%,0.95,0,"14,894","331,494",22,left-to-right,frwikibooks,wikibooks,fr,https://fr.wikibooks.org,French,Wikibooks,French Wikibooks
Italian Wikisource,105,"270,915",58.6%,37.0%,0.0%,"2,685",101,21,5,2.5%,1,17.6%,"10,886",37.6%,0.2%,0.1%,1.0%,0.9%,0.94,0,"127,682","884,802",7,left-to-right,itwikisource,wikisource,it,https://it.wikisource.org,Italian,Wikisource,Italian Wikisource
Icelandic Wikipedia,106,"205,573",40.9%,24.8%,1.3%,"1,670",123,27,5,7.4%,5,5.6%,"2,822",1.8%,5.2%,14.6%,25.7%,8.0%,0.94,0,"45,296","553,209",12,left-to-right,iswiki,wikipedia,is,https://is.wikipedia.org,Icelandic,Wikipedia,Icelandic Wikipedia
Italian Wikiversity,107,"236,472",57.3%,46.3%,0.0%,"2,468",96,23,5,5.5%,2,21.8%,"2,443",1.5%,2.1%,1.3%,5.6%,3.7%,0.92,0,"4,248","50,949",12,left-to-right,itwikiversity,wikiversity,it,https://it.wikiversity.org,Italian,Wikiversity,Italian Wikiversity
Finnish Wiktionary,108,"415,213",59.3%,44.6%,0.0%,"10,337",40,13,4,17.0%,1,4.9%,"4,768",73.3%,2.9%,0.1%,43.9%,4.1%,0.97,0,"360,223","1,199,061",3,left-to-right,fiwiktionary,wiktionary,fi,https://fi.wiktionary.org,Finnish,Wiktionary,Finnish Wiktionary
Turkish Wiktionary,109,"537,278",74.7%,34.2%,0.0%,"14,139",38,10,4,17.5%,1,0.9%,"74,427",3.4%,1.5%,0.0%,4.9%,0.3%,0.99,0,"329,870","1,491,850",5,left-to-right,trwiktionary,wiktionary,tr,https://tr.wiktionary.org,Turkish,Wiktionary,Turkish Wiktionary
Portuguese Wikibooks,110,"547,015",51.7%,48.3%,0.0%,"11,318",48,9,3,18.7%,2,1.7%,446,2.0%,11.9%,27.6%,26.5%,17.2%,0.85,31,"11,662","138,057",12,left-to-right,ptwikibooks,wikibooks,pt,https://pt.wikibooks.org,Portuguese,Wikibooks,Portuguese Wikibooks
English Wikinews,111,"163,822",55.5%,17.3%,0.1%,674,243,30,7,6.0%,13,0.2%,"5,938",19.5%,1.5%,1.3%,4.6%,3.6%,0.95,0,"21,476","523,723",24,left-to-right,enwikinews,wikinews,en,https://en.wikinews.org,English,Wikinews,English Wikinews
Uzbek Wikipedia,112,"285,211",71.5%,45.3%,0.6%,"2,994",95,16,5,21.0%,3,3.2%,"2,740",7.2%,4.5%,5.8%,6.4%,1.6%,0.96,0,"129,277","178,497",1,left-to-right,uzwiki,wikipedia,uz,https://uz.wikipedia.org,Uzbek,Wikipedia,Uzbek Wikipedia
Hebrew Wikisource,113,"203,179",57.7%,35.9%,0.0%,"3,308",61,22,5,7.5%,2,12.8%,"4,157",25.9%,1.3%,1.1%,2.9%,1.9%,0.95,0,"174,202","309,837",2,right-to-left,hewikisource,wikisource,he,https://he.wikisource.org,Hebrew,Wikisource,Hebrew Wikisource
Spanish Wikiversity,114,"410,100",45.3%,43.3%,0.0%,"8,619",48,11,4,6.4%,4,3.5%,743,2.6%,4.9%,7.6%,27.2%,15.5%,0.89,0,"1,695","65,249",38,left-to-right,eswikiversity,wikiversity,es,https://es.wikiversity.org,Spanish,Wikiversity,Spanish Wikiversity
Italian Wikibooks,115,"280,241",58.5%,49.7%,0.0%,"5,230",54,14,3,7.3%,2,3.5%,"1,055",0.5%,5.0%,4.7%,16.2%,5.1%,0.90,0,"8,595","150,606",18,left-to-right,itwikibooks,wikibooks,it,https://it.wikibooks.org,Italian,Wikibooks,Italian Wikibooks
Mongolian Wikipedia,116,"189,275",45.2%,35.3%,0.9%,"2,074",91,21,3,12.9%,5,4.8%,"3,045",0.6%,3.9%,8.9%,10.7%,5.7%,0.96,0,"18,276","200,243",11,left-to-right,mnwiki,wikipedia,mn,https://mn.wikipedia.org,Mongolian,Wikipedia,Mongolian Wikipedia
Latin Wikipedia,117,"126,784",26.6%,10.1%,1.2%,881,144,31,6,6.5%,2,7.9%,"5,170",21.6%,1.6%,3.2%,7.6%,1.2%,0.96,0,"128,743","1,331,288",10,left-to-right,lawiki,wikipedia,la,https://la.wikipedia.org,Latin,Wikipedia,Latin Wikipedia
Javanese Wikipedia,118,"177,058",70.3%,38.5%,0.1%,"1,976",90,22,3,7.8%,5,9.3%,"4,780",80.7%,2.2%,9.6%,2.5%,1.2%,0.96,0,"54,900","343,011",6,left-to-right,jvwiki,wikipedia,jv,https://jv.wikipedia.org,Javanese,Wikipedia,Javanese Wikipedia
Russian Wikivoyage,119,"120,814",54.1%,37.8%,0.0%,"1,512",80,31,4,10.0%,5,2.1%,"3,024",20.6%,1.1%,0.5%,6.4%,4.3%,0.93,0,"5,134","159,318",31,left-to-right,ruwikivoyage,wikivoyage,ru,https://ru.wikivoyage.org,Russian,Wikivoyage,Russian Wikivoyage
Belarusian (Taraškievica orthography) Wikipedia,120,"173,399",7.5%,5.4%,0.2%,"1,828",95,22,3,4.3%,2,14.8%,"5,240",15.9%,0.7%,1.4%,3.1%,1.1%,0.97,0,"63,478","549,113",9,left-to-right,be_x_oldwiki,wikipedia,be-x-old,https://be-tarask.wikipedia.org,Belarusian (Taraškievica orthography),Wikipedia,Belarusian (Taraškievica orthography) Wikipedia
Korean Wiktionary,121,"349,625",42.4%,29.3%,0.0%,"12,161",29,11,3,12.1%,1,4.8%,"4,626",86.6%,1.6%,0.9%,1.5%,0.8%,0.97,0,"289,650","689,915",2,left-to-right,kowiktionary,wiktionary,ko,https://ko.wiktionary.org,Korean,Wiktionary,Korean Wiktionary
Multilingual Wikisource,122,"195,125",69.0%,49.4%,0.0%,"2,607",75,19,7,8.4%,2,5.8%,"5,170",0.7%,2.1%,2.1%,1.3%,1.5%,0.94,0,"23,542","190,509",8,left-to-right,sourceswiki,sources,en,https://wikisource.org,English,Multilingual Wikisource,Multilingual Wikisource
Cebuano Wikipedia,123,"118,165",34.0%,9.2%,1.0%,784,151,30,5,4.3%,2,12.5%,"1,602",99.8%,3.6%,1.4%,7.7%,4.1%,0.89,0,"5,382,643","120,472",0,left-to-right,cebwiki,wikipedia,ceb,https://ceb.wikipedia.org,Cebuano,Wikipedia,Cebuano Wikipedia
Welsh Wikipedia,124,"88,624",35.2%,11.0%,0.4%,711,125,39,5,6.3%,5,13.8%,"9,863",95.7%,1.5%,3.8%,3.6%,2.3%,0.97,0,"100,724","564,030",6,left-to-right,cywiki,wikipedia,cy,https://cy.wikipedia.org,Welsh,Wikipedia,Welsh Wikipedia
Italian Wikivoyage,125,"150,108",57.9%,32.6%,0.0%,"2,457",61,22,2,9.4%,6,1.5%,"2,642",16.7%,1.8%,7.8%,9.0%,7.1%,0.94,0,"7,435","259,571",35,left-to-right,itwikivoyage,wikivoyage,it,https://it.wikivoyage.org,Italian,Wikivoyage,Italian Wikivoyage
Vietnamese Wiktionary,126,"598,155",57.3%,51.3%,0.0%,"18,035",33,5,3,18.9%,1,3.1%,512,7.0%,9.8%,2.1%,40.5%,14.7%,0.92,0,"232,869","390,831",2,left-to-right,viwiktionary,wiktionary,vi,https://vi.wiktionary.org,Vietnamese,Wiktionary,Vietnamese Wiktionary
Kyrgyz Wikipedia,127,"188,571",75.6%,58.4%,0.2%,"3,842",49,15,4,9.0%,3,4.8%,"2,060",47.8%,4.5%,7.5%,11.8%,2.7%,0.96,0,"79,767","129,167",2,left-to-right,kywiki,wikipedia,ky,https://ky.wikipedia.org,Kyrgyz,Wikipedia,Kyrgyz Wikipedia
Asturian Wikipedia,128,"146,332",44.8%,19.5%,0.3%,"1,569",93,19,7,4.0%,1,16.0%,"14,637",64.4%,1.0%,1.1%,2.7%,0.7%,0.99,0,"76,527","322,353",4,left-to-right,astwiki,wikipedia,ast,https://ast.wikipedia.org,Asturian,Wikipedia,Asturian Wikipedia
Hebrew Wiktionary,129,"235,319",62.3%,47.5%,0.0%,"5,810",41,12,3,11.7%,1,4.0%,"1,493",7.6%,4.8%,2.5%,10.7%,7.5%,0.95,0,"18,131","156,412",9,right-to-left,hewiktionary,wiktionary,he,https://he.wiktionary.org,Hebrew,Wiktionary,Hebrew Wiktionary
Polish Wikisource,130,"208,022",49.4%,22.8%,0.0%,"4,106",51,13,7,1.5%,0,13.6%,"18,683",19.6%,0.0%,0.0%,0.1%,0.2%,0.93,0,"630,786","1,278,479",2,left-to-right,plwikisource,wikisource,pl,https://pl.wikisource.org,Polish,Wikisource,Polish Wikisource
Armenian Wiktionary,131,"36,125",50.0%,29.5%,0.0%,302,120,69,2,0.8%,9,37.7%,"6,567",76.6%,0.2%,0.2%,0.7%,0.4%,0.85,0,"246,578","366,620",1,left-to-right,hywiktionary,wiktionary,hy,https://hy.wiktionary.org,Armenian,Wiktionary,Armenian Wiktionary
French Wikiquote,132,"205,034",48.3%,42.0%,0.0%,"3,803",54,12,3,6.8%,2,0.9%,687,6.5%,5.2%,1.3%,13.8%,4.7%,0.90,3,"4,367","112,685",26,left-to-right,frwikiquote,wikiquote,fr,https://fr.wikiquote.org,French,Wikiquote,French Wikiquote
Gujarati Wikipedia,133,"149,943",71.4%,59.4%,3.0%,"1,880",80,16,3,38.4%,3,1.5%,"2,263",41.4%,9.7%,10.1%,8.4%,6.7%,0.95,0,"27,853","176,565",6,left-to-right,guwiki,wikipedia,gu,https://gu.wikipedia.org,Gujarati,Wikipedia,Gujarati Wikipedia
Chinese Wikiquote,134,"206,150",56.7%,65.3%,0.0%,"4,317",48,11,3,13.3%,1,0.0%,627,0.3%,10.7%,2.0%,17.7%,6.2%,0.88,0,"1,665","35,215",21,left-to-right,zhwikiquote,wikiquote,zh,https://zh.wikiquote.org,Chinese,Wikiquote,Chinese Wikiquote
Russian Wikibooks,135,"285,536",39.9%,28.9%,0.0%,"8,923",32,8,2,9.7%,2,3.4%,684,1.4%,4.9%,1.8%,19.6%,5.8%,0.90,0,"1,760","75,916",43,left-to-right,ruwikibooks,wikibooks,ru,https://ru.wikibooks.org,Russian,Wikibooks,Russian Wikibooks
Punjabi Wikipedia,136,"65,943",57.3%,32.8%,1.3%,662,100,34,5,16.7%,5,6.5%,"4,372",1.7%,4.6%,5.7%,2.0%,0.9%,0.95,0,"29,769","225,197",8,left-to-right,pawiki,wikipedia,pa,https://pa.wikipedia.org,Punjabi,Wikipedia,Punjabi Wikipedia
Nepali Wikipedia,137,"85,905",58.7%,30.1%,3.4%,960,90,26,7,24.8%,4,4.1%,"2,322",6.3%,11.0%,7.8%,7.8%,2.3%,0.93,0,"30,568","272,072",9,left-to-right,newiki,wikipedia,ne,https://ne.wikipedia.org,Nepali,Wikipedia,Nepali Wikipedia
Indonesian Wikibooks,138,"556,991",84.2%,82.4%,0.0%,"23,128",24,3,4,11.0%,1,0.8%,209,6.4%,13.2%,2.8%,22.1%,10.1%,0.85,0,"3,678","34,552",9,left-to-right,idwikibooks,wikibooks,id,https://id.wikibooks.org,Indonesian,Wikibooks,Indonesian Wikibooks
Russian Wikiversity,139,"184,172",57.9%,46.0%,0.0%,"6,617",28,10,2,7.9%,2,19.2%,540,0.4%,3.4%,1.4%,11.2%,5.1%,0.85,0,"4,643","54,138",12,left-to-right,ruwikiversity,wikiversity,ru,https://ru.wikiversity.org,Russian,Wikiversity,Russian Wikiversity
Sundanese Wikipedia,140,"140,659",69.4%,45.6%,0.1%,"3,473",41,12,3,10.0%,4,4.9%,964,37.0%,6.4%,24.8%,6.0%,1.8%,0.91,0,"39,607","109,721",3,left-to-right,suwiki,wikipedia,su,https://su.wikipedia.org,Sundanese,Wikipedia,Sundanese Wikipedia
French Wikivoyage,141,"69,718",47.9%,32.1%,0.0%,"1,001",70,23,2,9.6%,4,4.4%,"3,253",33.1%,0.7%,4.5%,5.6%,2.0%,0.95,13,"7,248","265,077",37,left-to-right,frwikivoyage,wikivoyage,fr,https://fr.wikivoyage.org,French,Wikivoyage,French Wikivoyage
Thai Wiktionary,142,"250,280",66.7%,62.9%,0.0%,"11,686",21,6,3,15.7%,1,2.5%,"5,235",55.2%,2.3%,0.1%,5.7%,2.2%,0.98,0,"165,927","204,647",1,left-to-right,thwiktionary,wiktionary,th,https://th.wiktionary.org,Thai,Wiktionary,Thai Wiktionary
Polish Wikibooks,143,"248,621",35.4%,26.0%,0.0%,"8,673",29,6,2,3.1%,1,1.1%,730,0.2%,1.4%,4.0%,15.3%,9.2%,0.94,0,"5,359","138,927",26,left-to-right,plwikibooks,wikibooks,pl,https://pl.wikibooks.org,Polish,Wikibooks,Polish Wikibooks
Tosk Wikipedia,144,"107,302",39.5%,16.5%,3.8%,"1,434",75,14,5,5.5%,1,6.3%,"1,485",77.2%,2.3%,2.3%,9.2%,1.6%,0.98,0,"24,750","376,498",15,left-to-right,alswiki,wikipedia,als,https://als.wikipedia.org,Tosk,Wikipedia,Tosk Wikipedia
Sinhala Wikipedia,145,"107,947",53.1%,39.9%,2.3%,"1,718",63,14,3,20.8%,3,4.4%,"1,987",2.4%,5.9%,7.7%,10.8%,4.2%,0.95,0,"14,792","231,717",16,left-to-right,siwiki,wikipedia,si,https://si.wikipedia.org,Sinhala,Wikipedia,Sinhala Wikipedia
Luxembourgish Wikipedia,146,"70,540",31.2%,9.4%,0.3%,867,81,22,5,6.4%,2,19.5%,"4,590",46.3%,0.7%,5.8%,6.8%,2.3%,0.97,0,"54,160","634,828",12,left-to-right,lbwiki,wikipedia,lb,https://lb.wikipedia.org,Luxembourgish,Wikipedia,Luxembourgish Wikipedia
Central Kurdish Wikipedia,147,"64,282",50.4%,34.4%,1.2%,766,84,24,6,27.7%,4,3.9%,"3,269",20.5%,13.8%,7.1%,2.8%,4.6%,0.95,0,"21,836","137,008",6,right-to-left,ckbwiki,wikipedia,ckb,https://ckb.wikipedia.org,Central Kurdish,Wikipedia,Central Kurdish Wikipedia
German Wikiversity,148,"49,491",29.2%,13.3%,0.0%,354,140,30,4,1.6%,5,17.5%,"3,663",0.4%,0.6%,1.0%,2.4%,1.0%,0.91,0,"40,952","271,560",7,left-to-right,dewikiversity,wikiversity,de,https://de.wikiversity.org,German,Wikiversity,German Wikiversity
Russian Wikinews,149,"58,143",39.6%,15.8%,0.0%,679,86,25,4,4.0%,2,4.4%,"5,237",40.1%,0.3%,0.4%,1.2%,2.7%,0.96,0,"15,828","142,032",9,left-to-right,ruwikinews,wikinews,ru,https://ru.wikinews.org,Russian,Wikinews,Russian Wikinews
Scots Wikipedia,150,"151,286",43.1%,16.1%,0.3%,"1,852",82,10,3,10.5%,2,3.6%,"5,470",19.4%,2.8%,1.2%,12.7%,2.2%,0.98,0,"52,224","209,885",4,left-to-right,scowiki,wikipedia,sco,https://sco.wikipedia.org,Scots,Wikipedia,Scots Wikipedia
Turkish Wikiquote,151,"279,246",74.0%,63.3%,0.0%,"10,571",26,5,3,27.9%,1,2.5%,509,15.9%,8.6%,2.3%,12.7%,8.8%,0.92,0,"3,326","84,740",25,left-to-right,trwikiquote,wikiquote,tr,https://tr.wikiquote.org,Turkish,Wikiquote,Turkish Wikiquote
Dutch Wikibooks,152,"175,364",44.2%,36.0%,0.0%,"5,341",33,8,4,5.5%,1,1.8%,868,8.4%,3.0%,1.6%,15.8%,7.7%,0.94,0,"8,068","168,635",21,left-to-right,nlwikibooks,wikibooks,nl,https://nl.wikibooks.org,Dutch,Wikibooks,Dutch Wikibooks
Indonesian Wiktionary,153,"449,471",82.7%,80.8%,0.0%,"21,403",21,3,3,28.0%,0,0.0%,945,6.4%,6.6%,1.0%,9.3%,4.4%,0.97,0,"130,203","180,239",1,left-to-right,idwiktionary,wiktionary,id,https://id.wiktionary.org,Indonesian,Wiktionary,Indonesian Wiktionary
Chinese Wikibooks,154,"84,700",48.1%,37.0%,0.0%,"1,828",46,14,3,12.5%,2,6.3%,896,0.2%,19.8%,6.7%,6.7%,5.0%,0.89,0,"2,274","36,969",16,left-to-right,zhwikibooks,wikibooks,zh,https://zh.wikibooks.org,Chinese,Wikibooks,Chinese Wikibooks
Simple English Wiktionary,155,"199,891",55.1%,48.2%,0.0%,"5,780",35,6,3,10.1%,1,0.0%,625,12.1%,5.9%,1.1%,16.8%,8.9%,0.93,0,"26,018","171,955",7,left-to-right,simplewiktionary,wiktionary,simple,https://simple.wiktionary.org,Simple English,Wiktionary,Simple English Wiktionary
Portuguese Wikiversity,156,"77,611",45.2%,43.8%,0.0%,"1,565",50,15,4,9.8%,4,12.6%,805,0.3%,4.0%,27.2%,13.1%,5.2%,0.87,0,"1,993","66,950",34,left-to-right,ptwikiversity,wikiversity,pt,https://pt.wikiversity.org,Portuguese,Wikiversity,Portuguese Wikiversity
Bavarian Wikipedia,157,"76,957",37.3%,14.1%,5.2%,"1,143",67,15,4,6.1%,1,13.0%,"2,436",39.0%,0.7%,0.5%,3.5%,3.7%,0.96,0,"26,086","285,599",11,left-to-right,barwiki,wikipedia,bar,https://bar.wikipedia.org,Bavarian,Wikipedia,Bavarian Wikipedia
Burmese Wikipedia,158,"57,775",38.8%,31.3%,4.4%,712,81,19,4,30.6%,3,4.5%,"2,139",22.8%,17.8%,6.7%,5.2%,2.5%,0.94,0,"38,929","170,757",4,left-to-right,mywiki,wikipedia,my,https://my.wikipedia.org,Burmese,Wikipedia,Burmese Wikipedia
Japanese Wikisource,159,"104,620",59.5%,41.7%,0.0%,"2,741",38,10,4,6.8%,1,2.9%,"1,624",28.1%,1.3%,0.1%,2.4%,1.9%,0.95,0,"9,321","67,436",7,left-to-right,jawikisource,wikisource,ja,https://ja.wikisource.org,Japanese,Wikisource,Japanese Wikisource
German Wikiquote,160,"262,909",46.5%,34.9%,0.0%,"6,684",39,4,3,2.6%,0,1.2%,267,0.4%,3.1%,1.4%,17.0%,12.4%,0.84,0,"7,553","266,725",35,left-to-right,dewikiquote,wikiquote,de,https://de.wikiquote.org,German,Wikiquote,German Wikiquote
Classical Chinese Wikipedia,161,"49,403",21.9%,10.4%,3.5%,681,73,21,5,12.3%,3,10.2%,"2,956",8.2%,9.0%,7.3%,2.7%,3.0%,0.94,0,"7,900","96,501",12,left-to-right,zh_classicalwiki,wikipedia,zh-classical,https://zh-classical.wikipedia.org,Classical Chinese,Wikipedia,Classical Chinese Wikipedia
Persian Wikisource,162,"283,823",79.0%,73.9%,0.0%,"14,493",20,4,2,24.3%,0,11.5%,712,0.9%,2.5%,0.5%,4.1%,3.3%,0.93,0,"22,936","47,544",2,right-to-left,fawikisource,wikisource,fa,https://fa.wikisource.org,Persian,Wikisource,Persian Wikisource
Western Frisian Wikipedia,163,"76,453",37.9%,12.2%,0.3%,"1,248",61,13,4,5.4%,1,28.6%,"4,923",1.6%,0.4%,1.5%,1.3%,0.9%,0.98,0,"40,215","386,050",10,left-to-right,fywiki,wikipedia,fy,https://fy.wikipedia.org,Western Frisian,Wikipedia,Western Frisian Wikipedia
Breton Wikipedia,164,"57,325",30.5%,9.2%,0.3%,759,76,18,3,4.1%,1,21.1%,"3,776",1.9%,0.5%,7.8%,5.3%,7.1%,0.97,0,"64,948","625,735",10,left-to-right,brwiki,wikipedia,br,https://br.wikipedia.org,Breton,Wikipedia,Breton Wikipedia
Irish Wikipedia,165,"43,367",20.9%,5.7%,0.2%,580,75,22,4,11.0%,2,6.3%,"5,007",2.0%,2.6%,8.6%,2.1%,0.9%,0.97,0,"47,573","318,546",7,left-to-right,gawiki,wikipedia,ga,https://ga.wikipedia.org,Irish,Wikipedia,Irish Wikipedia
Aragonese Wikipedia,166,"94,236",44.4%,5.0%,0.1%,"1,734",54,10,4,4.6%,1,25.0%,"1,435",7.2%,3.2%,1.5%,21.1%,4.7%,0.95,0,"33,218","351,018",11,left-to-right,anwiki,wikipedia,an,https://an.wikipedia.org,Aragonese,Wikipedia,Aragonese Wikipedia
Bashkir Wikipedia,167,"30,834",16.0%,4.3%,0.1%,405,76,30,6,2.3%,1,16.7%,"6,993",29.9%,0.3%,1.3%,3.5%,1.9%,0.95,0,"43,281","225,926",5,left-to-right,bawiki,wikipedia,ba,https://ba.wikipedia.org,Bashkir,Wikipedia,Bashkir Wikipedia
Occitan Wikipedia,168,"45,702",22.7%,5.4%,0.2%,616,74,20,4,2.9%,1,16.7%,"2,883",2.8%,1.5%,3.4%,3.6%,1.3%,0.96,0,"84,695","476,180",6,left-to-right,ocwiki,wikipedia,oc,https://oc.wikipedia.org,Occitan,Wikipedia,Occitan Wikipedia
Persian Wikibooks,169,"154,942",81.4%,74.8%,0.0%,"6,456",24,6,2,26.0%,1,7.5%,924,0.1%,2.0%,2.2%,2.7%,5.8%,0.94,0,"2,916","41,067",14,right-to-left,fawikibooks,wikibooks,fa,https://fa.wikibooks.org,Persian,Wikibooks,Persian Wikibooks
Hebrew Wikiquote,170,"100,375",58.5%,50.1%,0.0%,"2,788",36,9,1,16.1%,1,3.8%,551,0.2%,6.8%,3.0%,14.2%,6.9%,0.91,0,"3,663","76,684",21,right-to-left,hewikiquote,wikiquote,he,https://he.wikiquote.org,Hebrew,Wikiquote,Hebrew Wikiquote
Tajik Wikipedia,171,"61,605",55.5%,27.6%,0.6%,"1,137",54,14,4,12.9%,3,7.3%,"10,466",2.7%,0.7%,41.6%,2.0%,0.8%,0.98,0,"94,200","252,026",3,left-to-right,tgwiki,wikipedia,tg,https://tg.wikipedia.org,Tajik,Wikipedia,Tajik Wikipedia
Khmer Wikipedia,172,"95,032",70.6%,49.8%,1.3%,"2,468",39,9,3,22.1%,2,5.7%,"1,191",1.8%,29.1%,8.0%,19.9%,3.9%,0.94,0,"6,466","82,362",13,left-to-right,kmwiki,wikipedia,km,https://km.wikipedia.org,Khmer,Wikipedia,Khmer Wikipedia
