wiki,overall size rank,monthly unique devices,mobile unique devices,mobile web pageviews,mobile app pageviews,unique devices per editor,monthly editors,monthly active editors,monthly active administrators,majority-mobile editors,monthly new active editors,second-month new editor retention,monthly nonbot edits,bot edits,mobile edits,visual edits,anonymous edits,revert rate,edits Gini coefficient,monthly flow messages,content pages,cumulative content edits,edits per content page,script direction,database code,project code,language code,domain name,language name,project name,wiki name
Samoan Wiktionary,662,155,10.4%,8.6%,0.0%,0,2,0,0,0.0%,0,0.0%,5,31.3%,7.9%,0.0%,12.9%,3.2%,0.39,0,0,0,0,left-to-right,alswikiquote,wiktionary,fj,https://als.wikiquote.org,Fijian,Wikisource,Samoan Wiktionary
Manx Wiktionary,662,"1,473",10.2%,0.7%,0.0%,804,1,0,0,0.0%,0,0.0%,1,0.0%,0.0%,0.0%,49.2%,0.0%,0.22,0,886,"1,692",2,left-to-right,aywiktionary,wiktionary,fo,https://ay.wiktionary.org,Faroese,Wikibooks,Manx Wiktionary
Hebrew Wikinews,662,"5,111",18.9%,4.4%,0.0%,0,1,0,0,0.0%,0,0.0%,2,0.0%,0.0%,0.0%,7.3%,0.0%,0.38,0,394,0,0,right-to-left,mowiki,wikinews,fy,https://mo.wikipedia.org,Western Frisian,Wikibooks,Hebrew Wikinews
Welsh Wikiquote,662,0,18.0%,11.3%,0.0%,0,1,1,0,0.0%,0,0.0%,2,0.1%,12.5%,0.0%,21.5%,0.0%,0.33,0,501,0,0,left-to-right,mowiktionary,wiktionary,ti,https://om.wiktionary.org,Finnish,Wikivoyage,Welsh Wikiquote
Bulgarian Wikinews,662,"1,715",20.3%,15.5%,0.0%,"1,871",1,0,0,0.0%,0,0.0%,4,0.0%,7.0%,2.2%,46.5%,4.7%,0.51,0,14,214,15,left-to-right,mgwikibooks,wikinews,bg,https://mg.wikibooks.org,Bulgarian,Wikibooks,Bulgarian Wikinews
Sango Wiktionary,662,"1,009",33.6%,10.1%,0.0%,673,1,0,0,0.0%,0,0.0%,5,76.2%,9.8%,0.0%,5.6%,0.0%,0.52,0,556,"1,408",3,left-to-right,nawiktionary,wiktionary,sg,https://uz.wikiquote.org,Zulu,Wiktionary,Sango Wiktionary
Kashmiri Wiktionary,662,"1,104",10.9%,8.9%,0.0%,662,1,0,0,0.0%,0,0.0%,2,85.5%,0.0%,0.0%,4.6%,0.0%,0.31,0,24,529,22,right-to-left,afwikibooks,wiktionary,ks,https://af.wikibooks.org,Kashmiri,Wikibooks,Kashmiri Wiktionary
Western Punjabi Wiktionary,662,"1,574",26.0%,9.6%,0.0%,540,1,0,1,0.0%,0,50.0%,2,51.9%,10.7%,0.0%,7.1%,0.0%,0.36,0,623,"5,051",8,right-to-left,nowikinews,wiktionary,pnb,https://no.wikinews.org,Western Punjabi,Wikinews,Western Punjabi Wiktionary
Kalaallisut Wiktionary,662,0,18.7%,11.9%,0.0%,0,1,0,0,0.0%,0,0.0%,2,2.4%,0.0%,0.0%,0.0%,0.0%,0.28,0,253,0,0,left-to-right,pswikivoyage,wiktionary,kl,https://ps.wikivoyage.org,Kalaallisut,Wikivoyage,Kalaallisut Wiktionary
Kyrgyz Wikibooks,662,"1,337",76.8%,66.9%,0.0%,754,2,0,0,14.3%,0,0.0%,4,91.8%,18.9%,0.0%,83.0%,0.0%,0.36,0,180,"1,153",6,left-to-right,kywikiquote,wiktionary,dv,https://cy.wikibooks.org,Kyrgyz,Wiktionary,Kyrgyz Wikibooks
